station_name;bucket_start_timestamp;co2;extT;pm10;pm25;rh
SMART07;2024-01-15 00:00:00;462.12820512820514;7.312820512820513;173.53846153846155;94.3076923076923;99.9
SMART19;2024-01-15 00:00:00;477.7719298245614;7.0;198.47368421052633;99.6140350877193;99.0
SMART368;2024-01-15 00:00:00;472.8965517241379;7.520689655172415;230.24137931034483;80.20689655172414;99.9
SMART41;2024-01-15 00:00:00;465.34615384615387;8.415384615384616;0.0;0.0;90.10000000000001
SMART127;2024-01-15 00:00:00;414.57142857142856;13.4;88.33898305084746;55.355932203389834;66.07142857142857
SMART128;2024-01-15 00:00:00;449.3333333333333;7.0;179.52631578947367;99.9298245614035;99.0
SMART366;2024-01-15 00:00:00;433.82758620689657;6.886206896551724;111.51724137931035;58.03448275862069;99.9
SMART59;2024-01-15 00:00:00;644.7;7.548000000000001;0.0;0.0;90.10000000000001
SMART373;2024-01-15 00:00:00;793.8965517241379;7.175862068965518;128.75862068965517;58.724137931034484;99.9
SMART367;2024-01-15 00:00:00;472.9655172413793;6.493103448275862;228.20689655172413;68.72413793103448;99.9
SMART07;2024-01-15 01:00:00;468.18918918918916;7.381081081081081;139.75675675675674;81.35135135135135;99.9
SMART19;2024-01-15 01:00:00;479.3454545454546;7.0;97.24561403508773;73.6140350877193;99.0
SMART127;2024-01-15 01:00:00;393.0;13.054716981132074;66.98214285714286;43.232142857142854;64.88679245283019
SMART128;2024-01-15 01:00:00;446.8421052631579;7.0;127.98245614035088;73.70175438596492;99.0
SMART367;2024-01-15 01:00:00;470.7241379310345;6.482758620689656;178.82758620689654;61.41379310344828;99.9
SMART59;2024-01-15 01:00:00;642.66;7.5120000000000005;0.0;0.0;90.10000000000001
SMART373;2024-01-15 01:00:00;803.8620689655172;7.196551724137932;109.03448275862068;53.724137931034484;99.9
SMART366;2024-01-15 01:00:00;441.1666666666667;6.906666666666666;100.36666666666666;54.56666666666667;99.9
SMART368;2024-01-15 01:00:00;476.06666666666666;7.543333333333334;128.13333333333333;70.83333333333333;99.9
SMART41;2024-01-15 01:00:00;452.59183673469386;8.316326530612246;0.0;0.0;90.10000000000001
SMART128;2024-01-15 02:00:00;440.3333333333333;7.0;97.85454545454546;55.163636363636364;99.0
SMART59;2024-01-15 02:00:00;642.8269230769231;7.496153846153847;0.0;0.0;90.10000000000001
SMART373;2024-01-15 02:00:00;813.0666666666667;7.053333333333334;105.63333333333334;52.36666666666667;99.9
SMART366;2024-01-15 02:00:00;442.6551724137931;6.513793103448276;125.20689655172414;56.172413793103445;99.9
SMART41;2024-01-15 02:00:00;437.5;8.333333333333334;0.0;0.0;90.10000000000001
SMART07;2024-01-15 02:00:00;473.8421052631579;7.105263157894736;175.52631578947367;93.42105263157895;99.9
SMART19;2024-01-15 02:00:00;485.13793103448273;6.916666666666668;121.21428571428571;77.42857142857143;99.0
SMART367;2024-01-15 02:00:00;478.0;6.16;148.3;53.03333333333333;99.9
SMART127;2024-01-15 02:00:00;397.92857142857144;13.350000000000001;51.220338983050844;32.83050847457627;66.21428571428571
SMART368;2024-01-15 02:00:00;475.6896551724138;7.2620689655172415;150.0344827586207;61.86206896551724;99.9
SMART368;2024-01-15 03:00:00;456.62068965517244;7.172413793103448;84.62068965517241;46.310344827586206;99.9
SMART373;2024-01-15 03:00:00;797.6206896551724;6.917241379310345;91.10344827586206;45.310344827586206;99.9
SMART366;2024-01-15 03:00:00;425.0;6.640000000000001;59.833333333333336;33.63333333333333;99.9
SMART367;2024-01-15 03:00:00;466.7241379310345;5.993103448275862;164.27586206896552;47.96551724137931;99.9
SMART07;2024-01-15 03:00:00;447.57894736842104;7.121052631578947;91.28947368421052;51.28947368421053;99.9
SMART41;2024-01-15 03:00:00;459.462962962963;8.08148148148148;0.0;0.0;90.10000000000001
SMART128;2024-01-15 03:00:00;435.9122807017544;7.0;126.44642857142857;72.48214285714286;99.0
SMART19;2024-01-15 03:00:00;464.0;6.733333333333333;77.14035087719299;53.98245614035088;99.0
SMART59;2024-01-15 03:00:00;647.8823529411765;7.4372549019607845;0.0;0.0;90.10000000000001
SMART127;2024-01-15 03:00:00;410.17857142857144;13.185714285714287;61.266666666666666;39.9;66.175
SMART366;2024-01-15 04:00:00;439.6896551724138;6.558620689655173;78.89655172413794;44.41379310344828;99.9
SMART07;2024-01-15 04:00:00;452.5;7.2026315789473685;93.21052631578948;51.421052631578945;99.9
SMART59;2024-01-15 04:00:00;652.8846153846154;7.561538461538461;0.0;0.0;90.10000000000001
SMART367;2024-01-15 04:00:00;459.8666666666667;6.276666666666667;77.26666666666667;40.43333333333333;99.9
SMART128;2024-01-15 04:00:00;425.5263157894737;7.0;123.89090909090909;64.9090909090909;99.0
SMART19;2024-01-15 04:00:00;470.2830188679245;6.931034482758621;68.81481481481481;50.611111111111114;99.0
SMART368;2024-01-15 04:00:00;449.8;7.45;66.53333333333333;39.0;99.9
SMART41;2024-01-15 04:00:00;459.24528301886795;8.124528301886793;0.0;0.0;90.10000000000001
SMART373;2024-01-15 04:00:00;810.551724137931;6.913793103448277;97.24137931034483;45.3448275862069;99.9
SMART127;2024-01-15 04:00:00;413.23214285714283;13.183928571428574;53.983050847457626;33.52542372881356;66.03214285714286
SMART373;2024-01-15 05:00:00;819.7;6.943333333333334;118.43333333333334;49.6;99.9
SMART07;2024-01-15 05:00:00;471.05263157894734;7.1684210526315795;120.39473684210526;62.578947368421055;99.9
SMART19;2024-01-15 05:00:00;472.0625;7.0;80.71428571428571;55.48979591836735;99.0
