station_name;bucket_start_timestamp;co2;extT;pm10;pm25;rh;day_of_week
SMART364;2024-01-15 00:00:00;508.74372576002344;7.875206719717066;167.3251978150429;76.86214241657734;94.37714285714286;0.0
SMART364;2024-01-15 01:00:00;507.44481259623797;7.8393434937653;118.54112984435693;64.05465183958265;94.25867924528302;0.0
SMART364;2024-01-15 02:00:00;508.6980358389342;7.719061240634742;121.87377482312925;60.28478145712297;94.39142857142858;0.0
SMART364;2024-01-15 03:00:00;501.09806326442657;7.628159525475849;94.49703164160401;48.859201613948656;94.3875;0.0
SMART364;2024-01-15 04:00:00;503.3579421895036;7.720274185632993;82.47965401293172;46.20732905044788;94.37321428571428;0.0
SMART364;2024-01-15 05:00:00;509.92414126552;7.745541448448708;98.34871931985134;52.00804466523451;94.18913043478261;0.0
SMART364;2024-01-15 06:00:00;520.1473061102371;7.840688823154342;86.43977771631738;46.995229012514216;94.44222222222223;0.0
SMART364;2024-01-15 07:00:00;518.3398293850202;7.860796251833979;84.77885474997545;43.39409875724532;94.40087719298246;0.0
SMART364;2024-01-15 08:00:00;514.9956360784809;8.15614179384506;80.99172793436793;42.38430936399565;94.37321428571428;0.0
SMART364;2024-01-15 09:00:00;503.80672517206983;9.220414926412387;55.683360587679616;32.80370193966991;93.73879414838036;0.0
SMART364;2024-01-15 10:00:00;489.74289297587103;10.130434283196443;40.54206985920915;25.119142021393607;92.028513136289;0.0
SMART364;2024-01-15 11:00:00;488.9228435997804;11.163881722419438;40.10219714500738;24.375518007004395;90.3845682458942;0.0
SMART364;2024-01-15 12:00:00;495.88189188058584;11.926186275495704;43.68853361405636;26.080786678356375;89.82472483666982;0.0
SMART364;2024-01-15 13:00:00;501.66940808507314;12.939990541335082;47.649471085456135;27.01748380647975;87.67696714336631;0.0
SMART364;2024-01-15 14:00:00;491.5089428763739;13.262613954874974;44.809190897188984;23.79656173392894;86.19480166940339;0.0
SMART364;2024-01-15 15:00:00;478.0028206579068;12.810146714163958;31.410751122419384;16.413139242015344;84.01187870496491;0.0
SMART364;2024-01-15 16:00:00;486.2707747998782;11.687238704378359;29.78181218051908;14.756185338943961;85.85338503393676;0.0
SMART364;2024-01-15 17:00:00;497.24900187397617;11.512517963959521;33.5276192776818;16.9620683432887;86.37254475507525;0.0
SMART364;2024-01-15 18:00:00;496.1964395198491;11.289284837135096;30.66986778212358;15.260613784368722;86.85900317110107;0.0
SMART364;2024-01-15 19:00:00;501.44348813802253;10.879443949987714;33.29742615225385;16.440056890972368;88.24256910535408;0.0
SMART364;2024-01-15 20:00:00;521.499809616755;10.00111799329854;51.00067941299446;27.85036788957588;90.56294178517211;0.0
SMART364;2024-01-15 21:00:00;525.1715230791376;9.123167783219042;59.72881946665814;34.19780924125136;92.11185057471265;0.0
SMART364;2024-01-15 22:00:00;506.67815252367444;8.976831888239545;47.61231443882306;27.872888513513512;91.86259528130672;0.0
SMART364;2024-01-15 23:00:00;496.46385132972637;8.688720561350326;38.77290996064827;22.456677793621985;91.84245130066547;0.0
SMART367;2024-01-15 00:00:00;472.9655172413793;6.493103448275862;228.20689655172413;68.72413793103448;99.9;0.0
SMART367;2024-01-15 01:00:00;470.7241379310345;6.482758620689656;178.82758620689654;61.41379310344828;99.9;0.0
SMART367;2024-01-15 02:00:00;478.0;6.16;148.3;53.03333333333333;99.9;0.0
SMART367;2024-01-15 03:00:00;466.7241379310345;5.993103448275862;164.27586206896552;47.96551724137931;99.9;0.0
SMART367;2024-01-15 04:00:00;459.8666666666667;6.276666666666667;77.26666666666667;40.43333333333333;99.9;0.0
SMART367;2024-01-15 05:00:00;464.41379310344826;6.506896551724139;66.34482758620689;37.58620689655172;99.9;0.0
SMART367;2024-01-15 06:00:00;466.26666666666665;6.513333333333335;70.06666666666666;38.766666666666666;99.9;0.0
SMART367;2024-01-15 07:00:00;461.0344827586207;6.465517241379311;79.96551724137932;37.86206896551724;99.9;0.0
SMART367;2024-01-15 08:00:00;456.3448275862069;6.920689655172414;69.86206896551724;37.44827586206897;99.9;0.0
SMART367;2024-01-15 09:00:00;445.23333333333335;8.16;49.333333333333336;31.566666666666663;99.9;0.0
SMART367;2024-01-15 10:00:00;432.0344827586207;9.189655172413794;34.86206896551724;22.41379310344828;99.9;0.0
SMART367;2024-01-15 11:00:00;434.0;9.740000000000002;33.46666666666667;21.3;99.9;0.0
SMART367;2024-01-15 12:00:00;441.7586206896552;11.262068965517242;36.44827586206897;23.27586206896552;98.13448275862068;0.0
SMART367;2024-01-15 13:00:00;453.6;11.006666666666668;46.56666666666667;29.133333333333333;99.9;0.0
SMART367;2024-01-15 14:00:00;455.2068965517241;11.396551724137932;55.241379310344826;32.827586206896555;99.89655172413794;0.0
SMART367;2024-01-15 15:00:00;439.86206896551727;11.279310344827586;33.689655172413794;18.58620689655172;97.2;0.0
SMART367;2024-01-15 16:00:00;445.2;10.856666666666667;31.366666666666667;15.733333333333333;95.19;0.0
SMART367;2024-01-15 17:00:00;453.2758620689655;10.696551724137931;33.03448275862069;17.82758620689655;94.8689655172414;0.0
SMART367;2024-01-15 18:00:00;453.8666666666667;10.116666666666667;32.93333333333333;18.7;97.53;0.0
SMART367;2024-01-15 19:00:00;486.3448275862069;8.803448275862069;46.51724137931034;25.03448275862069;99.9;0.0
SMART367;2024-01-15 20:00:00;494.1;7.866666666666667;67.1;39.63333333333333;99.9;0.0
SMART367;2024-01-15 21:00:00;479.5517241379311;7.013793103448276;54.72413793103448;33.827586206896555;99.9;0.0
